Name,Quantidade,DoseValor,Preço_limpo,Infos,Cluster,TipoPreco,TipoDose
Acetilcisteína Prati-Donaduzzi,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,20.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,20.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,40.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,120.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Prati-Donaduzzi,30.0,120.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Prati-Donaduzzi,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,40.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Acetilcisteína Prati-Donaduzzi,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetato de Desmopressina - Bergamo,30.0,0.1,255.28,Solução nasal,0,Médio,Baixa
Acetato de Desmopressina - Bergamo,30.0,0.1,93.98,Solução nasal,0,Baixo,Baixa
Aciclovir Comprimido Medley,25.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Medley,30.0,400.0,93.98,Comprimido,0,Baixo,Alta
Aciclovir Comprimido Neo Química,25.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Neo Química,10.0,200.0,93.98,Comprimido,0,Baixo,Média
Abcler Abnat,30.0,100.0,93.98,Solução oral,0,Baixo,Média
Abcler Abnat,30.0,100.0,93.98,Solução oral,0,Baixo,Média
Abcler Abnat,30.0,100.0,93.98,Solução oral,0,Baixo,Média
Ablok,30.0,25.0,23.71,Comprimido,0,Baixo,Baixa
Ablok,30.0,100.0,60.86,Comprimido,0,Baixo,Média
Ablok,30.0,50.0,37.19,Comprimido,0,Baixo,Baixa
Ablok,60.0,25.0,47.45,Comprimido,0,Baixo,Baixa
Ablok,60.0,50.0,74.47,Comprimido,0,Baixo,Baixa
Ablok,60.0,100.0,121.78,Comprimido,0,Médio,Média
Ablok,90.0,25.0,71.17,Comprimido,0,Baixo,Baixa
Ablok,90.0,50.0,111.66,Comprimido,0,Médio,Baixa
Ablok,90.0,100.0,182.66,Comprimido,0,Médio,Média
Acebrofilina Cimed,30.0,5.0,26.79,Xarope,0,Baixo,Baixa
Acebrofilina Cimed,30.0,10.0,37.13,Xarope,0,Baixo,Baixa
Acebrofilina Cimed,30.0,10.0,694.95,Xarope,0,Alto,Baixa
Acebrofilina Cimed,30.0,5.0,679.93,Xarope,0,Alto,Baixa
Acetazona Elixir,30.0,0.1,93.98,Elixir,0,Baixo,Baixa
Acetazona Elixir,30.0,0.1,93.98,Elixir,0,Baixo,Baixa
Acetazona Elixir,30.0,0.1,93.98,Elixir,0,Baixo,Baixa
Acebrofilina Geolab,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Geolab,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Geolab,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Geolab,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Geolab,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Geolab,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acetildor,1000.0,100.0,93.98,Comprimido,0,Baixo,Média
Acetildor,1000.0,100.0,93.98,Comprimido,0,Baixo,Média
Acetildor,500.0,100.0,93.98,Comprimido,0,Baixo,Média
Acetildor,500.0,100.0,93.98,Comprimido,0,Baixo,Média
Acetildor,10.0,100.0,93.98,Comprimido,0,Baixo,Média
Aciclor,30.0,50.0,93.98,Creme dermatológico,0,Baixo,Baixa
Aciclor,25.0,200.0,93.98,Comprimido,0,Baixo,Média
Acetilcisteína Geolab,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Geolab,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Geolab,30.0,600.0,93.98,Granulado,0,Baixo,Alta
Acetilcisteína Germed Pharma,30.0,600.0,63.09,Granulado para solução oral,0,Baixo,Alta
Acetilcisteína Germed Pharma,30.0,40.0,44.56,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,20.0,33.43,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,20.0,30.76,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,200.0,34.33,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Germed Pharma,30.0,200.0,9.23,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Germed Pharma,30.0,40.0,26.68,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,40.0,41.05,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,40.0,54.69,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,40.0,69.27,Xarope,0,Baixo,Baixa
Acetilcisteína Germed Pharma,30.0,600.0,17.87,Granulado para solução oral,0,Baixo,Alta
Acetilcisteína Germed Pharma,30.0,20.0,42.5,Xarope,0,Baixo,Baixa
Acetato de Dexametasona Prati-Donaduzzi,30.0,1.0,93.98,Creme dermatológico,0,Baixo,Baixa
Acetato de Dexametasona Prati-Donaduzzi,30.0,1.0,93.98,Creme dermatológico,0,Baixo,Baixa
Acetato de Hidrocortisona Teuto,30.0,10.0,93.98,Creme dermatológico,0,Baixo,Baixa
Acetato de Hidrocortisona Teuto,30.0,10.0,93.98,Creme dermatológico,0,Baixo,Baixa
Acetato de Hidrocortisona Teuto,30.0,10.0,93.98,Creme dermatológico,0,Baixo,Baixa
Acetato de Hidrocortisona Teuto,30.0,10.0,93.98,Creme dermatológico,0,Baixo,Baixa
Adinos,30.0,0.5,43.13,Gel creme,0,Baixo,Baixa
Adinos,30.0,0.5,21.57,Gel creme,0,Baixo,Baixa
Aciclovir Comprimido Multilab,10.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Multilab,25.0,200.0,187.5,Comprimido,0,Médio,Média
Aciclovir Comprimido Multilab,30.0,200.0,262.44,Comprimido,0,Médio,Média
Aciclovir Comprimido Multilab,30.0,400.0,281.74,Comprimido,0,Médio,Alta
Aciclovir Comprimido Multilab,50.0,400.0,469.57,Comprimido,0,Médio,Alta
Aciclovir Comprimido Multilab,20.0,400.0,187.85,Comprimido,0,Médio,Alta
Adeforte,30.0,10000.0,93.98,Solução oral,0,Baixo,Alta
Adeforte,30.0,10000.0,93.98,Solução oral,0,Baixo,Alta
Adeforte,30.0,1000.0,93.98,Solução oral (gotas),0,Baixo,Alta
Adeforte,60.0,1000.0,93.98,Cápsula,0,Baixo,Alta
Adeforte,30.0,1000.0,93.98,Cápsula,0,Baixo,Alta
Adeforte,30.0,8000.0,93.98,Solução oral,0,Baixo,Alta
Adeforte,30.0,8000.0,93.98,Solução oral,0,Baixo,Alta
Adeforte,30.0,8000.0,93.98,Solução oral,0,Baixo,Alta
Albendy,1.0,400.0,93.98,Comprimido,0,Baixo,Alta
Albendy,30.0,40.0,93.98,Suspensão oral,0,Baixo,Baixa
Albumax,30.0,200.0,93.98,Solução injetável,0,Baixo,Média
Albumax,30.0,200.0,93.98,Solução injetável,0,Baixo,Média
Albumax,30.0,200.0,93.98,Solução injetável,0,Baixo,Média
Albumax,30.0,200.0,93.98,Solução injetável,0,Baixo,Média
Aceticil,500.0,500.0,93.98,Comprimido simples,0,Baixo,Alta
Aceticil,10.0,100.0,93.98,Comprimido mastigável,0,Baixo,Média
Aceticil,20.0,500.0,93.98,Comprimido simples,0,Baixo,Alta
Acular CMC,30.0,4.5,93.98,Solução oftálmica,0,Baixo,Baixa
Acular CMC,30.0,4.5,93.98,Solução oftálmica,0,Baixo,Baixa
Acular CMC,30.0,4.5,93.98,Solução oftálmica,0,Baixo,Baixa
Acular CMC,30.0,4.5,93.98,Solução oftálmica,0,Baixo,Baixa
Afopic,100.0,5.0,93.98,Comprimido,0,Baixo,Baixa
Afopic,20.0,5.0,93.98,Comprimido,0,Baixo,Baixa
Albel,500.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Albel,30.0,40.0,93.98,Suspensão oral (gotas),0,Baixo,Baixa
Albel,1.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Albel,30.0,40.0,93.98,Suspensão oral (gotas),0,Baixo,Baixa
Albel,3.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Albel,5.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Acebrofilina Prati-Donaduzzi,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Prati-Donaduzzi,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Prati-Donaduzzi,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Prati-Donaduzzi,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Prati-Donaduzzi,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Prati-Donaduzzi,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Aerogreen,30.0,0.4,93.98,Xarope,0,Baixo,Baixa
Aerogreen,20.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Aerogreen,500.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Abrilar,30.0,7.0,93.98,Solução oral,0,Baixo,Baixa
Abrilar,30.0,65.0,93.98,Pó efervescente,0,Baixo,Média
Abrilar,30.0,7.0,103.17,Xarope,0,Médio,Baixa
Abrilar,30.0,7.0,47.04,Xarope,0,Baixo,Baixa
Abrilar,30.0,7.0,61.95,Solução oral,0,Baixo,Baixa
Abrilar,30.0,7.0,85.95,Solução oral,0,Baixo,Baixa
Acebrofilina União Química,30.0,5.0,26.14,Xarope,0,Baixo,Baixa
Acebrofilina União Química,30.0,10.0,27.41,Xarope,0,Baixo,Baixa
Actos,15.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Actos,15.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Actos,15.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Adcirca,30.0,20.0,93.98,Comprimido revestido,0,Baixo,Baixa
Adcirca,60.0,20.0,93.98,Comprimido revestido,0,Baixo,Baixa
Adoless,28.0,0.06,93.98,Comprimido revestido,0,Baixo,Baixa
Adoless,28.0,0.06,93.98,Comprimido revestido,0,Baixo,Baixa
Aeromed,30.0,0.4,93.98,Solução oral,0,Baixo,Baixa
Aeromed,30.0,0.4,93.98,Solução oral,0,Baixo,Baixa
Aeromed,30.0,0.4,93.98,Solução oral,0,Baixo,Baixa
Aglitil,15.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,15.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,15.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,20.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,20.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,20.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,60.0,15.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,60.0,30.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,10.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aglitil,30.0,45.0,93.98,Comprimido,0,Baixo,Baixa
Aires,30.0,20.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Aires,30.0,20.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Aires,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Aires,30.0,120.0,93.98,Granulado para solução oral,0,Baixo,Média
Aires,30.0,200.0,93.98,Granulado para solução oral,0,Baixo,Média
Aires,30.0,40.0,93.98,Granulado para solução oral,0,Baixo,Baixa
Aires,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Aires,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Aires,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Aires,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Alcachofra Aspen Pharma,200.0,312.5,168.26,Comprimido revestido,0,Médio,Alta
Alcachofra Aspen Pharma,30.0,312.5,34.28,Comprimido revestido,0,Baixo,Alta
Alcachofra Aspen Pharma,100.0,312.5,97.94,Comprimido revestido,0,Baixo,Alta
Aletir,30.0,1.0,93.98,Solução oral,0,Baixo,Baixa
Aletir,6.0,10.0,93.98,Comprimido revestido,0,Baixo,Baixa
Allurene,28.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Allurene,84.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Allurene,168.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Aloxidil,30.0,50.0,251.73,Solução capilar,0,Médio,Baixa
Aloxidil,30.0,50.0,116.04,Solução capilar,0,Médio,Baixa
Aloxidil,30.0,50.0,209.37,Solução capilar,0,Médio,Baixa
Aloxidil,30.0,50.0,274.91,Solução capilar,0,Médio,Baixa
Aloxidil,30.0,50.0,380.97,Solução capilar,0,Médio,Baixa
Aloxidil,30.0,50.0,495.38,Solução capilar,0,Médio,Baixa
Aerolin,30.0,100.0,93.98,Suspensão aerossol,0,Baixo,Média
Aerolin,20.0,2.0,93.98,Comprimido,0,Baixo,Baixa
Aerolin,20.0,4.0,93.98,Comprimido,0,Baixo,Baixa
Aerolin,30.0,0.4,15.21,Xarope,0,Baixo,Baixa
Aerolin,30.0,100.0,55.15,Suspensão aerossol,0,Baixo,Média
Albenix Globo Pharma,30.0,40.0,5.4,Suspensão oral (gotas),0,Baixo,Baixa
Albenix Globo Pharma,2.0,200.0,3.11,Comprimido,0,Baixo,Média
Agritoss,30.0,0.15,93.98,Xarope,0,Baixo,Baixa
Agritoss,30.0,0.15,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,100.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Legrand,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Acetilcisteína Legrand,30.0,200.0,93.98,Granulado,0,Baixo,Média
Acetilcisteína Legrand,30.0,100.0,93.98,Granulado,0,Baixo,Média
Acetilcisteína Legrand,30.0,200.0,93.98,Granulado,0,Baixo,Média
Acetilcisteína Legrand,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Acetilcisteína Legrand,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Legrand,30.0,200.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína Legrand,30.0,200.0,93.98,Granulado,0,Baixo,Média
Acetilcisteína Legrand,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Aciclovir Comprimido Sandoz,25.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Sandoz,30.0,400.0,93.98,Comprimido,0,Baixo,Alta
Aciclovir Comprimido Sandoz,50.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Sandoz,60.0,400.0,93.98,Comprimido,0,Baixo,Alta
Addera D3 Comprimido,30.0,1000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,4.0,50000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,4.0,7000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,10.0,7000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,10.0,1000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,30.0,7000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,10.0,10000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,4.0,10000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,30.0,5000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,10.0,50000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,8.0,50000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,6.0,50000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,2.0,50000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,30.0,2000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,90.0,1000.0,93.98,Comprimido revestido,0,Baixo,Alta
Addera D3 Comprimido,90.0,2000.0,93.98,Comprimido revestido,0,Baixo,Alta
Albendazol Medley,30.0,40.0,93.98,Suspensão oral,0,Baixo,Baixa
Albendazol Medley,1.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Albendazol Medley,3.0,400.0,93.98,Comprimido mastigável,0,Baixo,Alta
Akineton,30.0,4.0,23.26,Comprimido revestido de liberação retardada,0,Baixo,Baixa
Akineton,80.0,2.0,49.68,Comprimido,0,Baixo,Baixa
Akineton,30.0,4.0,33.55,Comprimido revestido de liberação retardada,0,Baixo,Baixa
Acebrofilina Medley,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Medley,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Teuto,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína Teuto,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Aciclovir Comprimido Geolab,500.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Geolab,30.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Comprimido Geolab,200.0,200.0,93.98,Comprimido,0,Baixo,Média
A Curitybina,30.0,280.0,93.98,Pasta,0,Baixo,Alta
A Curitybina,30.0,100.0,93.98,Solução dermatológica (spray),0,Baixo,Média
Actemra,30.0,20.0,93.98,Solução injetável,0,Baixo,Baixa
Actemra,30.0,20.0,93.98,Solução injetável,0,Baixo,Baixa
Actemra,30.0,20.0,93.98,Solução injetável,0,Baixo,Baixa
Actifedrin,30.0,6.0,93.98,Xarope,0,Baixo,Baixa
Actifedrin,20.0,60.0,93.98,Comprimido,0,Baixo,Média
Actifedrin,30.0,6.0,93.98,Xarope,0,Baixo,Baixa
Aciclovir Merck,25.0,200.0,93.98,Comprimido,0,Baixo,Média
Aciclovir Merck,30.0,400.0,93.98,Comprimido,0,Baixo,Alta
Aciclovir Merck,30.0,200.0,93.98,Comprimido,0,Baixo,Média
Adalat,60.0,10.0,93.98,Cápsula gelatinosa,0,Baixo,Baixa
Adalat,30.0,10.0,93.98,Comprimido revestido,0,Baixo,Baixa
Advil 400mg,8.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,10.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,16.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,20.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,3.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,2.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,3.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,2.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,8.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,12.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,80.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Advil 400mg,30.0,400.0,93.98,Cápsula mole,0,Baixo,Alta
Aerojet,30.0,100.0,93.98,Suspensão inalatória,0,Baixo,Média
Aerojet,30.0,100.0,93.98,Suspensão inalatória,0,Baixo,Média
Alcachofrax,100.0,335.0,93.98,Comprimido,0,Baixo,Alta
Alcachofrax,30.0,335.0,93.98,Comprimido revestido,0,Baixo,Alta
Aceclofenaco Multilab,12.0,100.0,93.98,Comprimido revestido,0,Baixo,Média
Aceclofenaco Multilab,24.0,100.0,93.98,Comprimido revestido,0,Baixo,Média
Acetilcisteína EMS,30.0,100.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína EMS,30.0,200.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína EMS,30.0,600.0,93.98,Granulado para solução oral,0,Baixo,Alta
Acetilcisteína EMS,30.0,40.0,93.98,Xarope,0,Baixo,Baixa
Acetilcisteína EMS,30.0,200.0,93.98,Granulado para solução oral,0,Baixo,Média
Acetilcisteína EMS,30.0,20.0,93.98,Xarope,0,Baixo,Baixa
